Recall @ IoU=0.5, Cat=19, Area=[0, 1024] => Recall: 0.5932203389830508
Recall @ IoU=0.5, Cat=19, Area=[1024, 9216] => Recall: 0.8877551020408163
Recall @ IoU=0.5, Cat=19, Area=[9216, 10000000000.0] => Recall: 0.9391304347826087
Recall @ IoU=0.5, Cat=20, Area=[0, 10000000000.0] => Recall: 0.864406779661017
Recall @ IoU=0.5, Cat=20, Area=[0, 1024] => Recall: 0.7314814814814815
Recall @ IoU=0.5, Cat=20, Area=[1024, 9216] => Recall: 0.9119496855345912
Recall @ IoU=0.5, Cat=20, Area=[9216, 10000000000.0] => Recall: 0.9540229885057471
Recall @ IoU=0.5, Cat=21, Area=[0, 10000000000.0] => Recall: 0.8064516129032258
Recall @ IoU=0.5, Cat=21, Area=[0, 1024] => Recall: 0.6794871794871795
Recall @ IoU=0.5, Cat=21, Area=[1024, 9216] => Recall: 0.8780487804878049
Recall @ IoU=0.5, Cat=21, Area=[9216, 10000000000.0] => Recall: 0.9247311827956989
Recall @ IoU=0.5, Cat=22, Area=[0, 10000000000.0] => Recall: 0.9404761904761905
Recall @ IoU=0.5, Cat=22, Area=[0, 1024] => Recall: 0.8235294117647058
Recall @ IoU=0.5, Cat=22, Area=[1024, 9216] => Recall: 0.9479166666666666
Recall @ IoU=0.5, Cat=22, Area=[9216, 10000000000.0] => Recall: 0.9496402877697842
Recall @ IoU=0.5, Cat=23, Area=[0, 10000000000.0] => Recall: 0.9014084507042254
Recall @ IoU=0.5, Cat=23, Area=[0, 1024] => Recall: 0.6
Recall @ IoU=0.5, Cat=23, Area=[1024, 9216] => Recall: 0.9230769230769231
Recall @ IoU=0.5, Cat=23, Area=[9216, 10000000000.0] => Recall: 0.9245283018867925
Recall @ IoU=0.5, Cat=24, Area=[0, 10000000000.0] => Recall: 0.8872180451127819
Recall @ IoU=0.5, Cat=24, Area=[0, 1024] => Recall: 0.7916666666666666
Recall @ IoU=0.5, Cat=24, Area=[1024, 9216] => Recall: 0.8736842105263158
Recall @ IoU=0.5, Cat=24, Area=[9216, 10000000000.0] => Recall: 0.959349593495935
Recall @ IoU=0.5, Cat=25, Area=[0, 10000000000.0] => Recall: 0.8577586206896551
Recall @ IoU=0.5, Cat=25, Area=[0, 1024] => Recall: 0.34615384615384615
Recall @ IoU=0.5, Cat=25, Area=[1024, 9216] => Recall: 0.9175257731958762
Recall @ IoU=0.5, Cat=25, Area=[9216, 10000000000.0] => Recall: 0.926605504587156
Recall @ IoU=0.5, Cat=27, Area=[0, 10000000000.0] => Recall: 0.5121293800539084
Recall @ IoU=0.5, Cat=27, Area=[0, 1024] => Recall: 0.4386792452830189
Recall @ IoU=0.5, Cat=27, Area=[1024, 9216] => Recall: 0.5777777777777777
Recall @ IoU=0.5, Cat=27, Area=[9216, 10000000000.0] => Recall: 0.7916666666666666
Recall @ IoU=0.5, Cat=28, Area=[0, 10000000000.0] => Recall: 0.6928746928746928
Recall @ IoU=0.5, Cat=28, Area=[0, 1024] => Recall: 0.5223880597014925
Recall @ IoU=0.5, Cat=28, Area=[1024, 9216] => Recall: 0.7337278106508875
Recall @ IoU=0.5, Cat=28, Area=[9216, 10000000000.0] => Recall: 0.8461538461538461
Recall @ IoU=0.5, Cat=31, Area=[0, 10000000000.0] => Recall: 0.5611111111111111
Recall @ IoU=0.5, Cat=31, Area=[0, 1024] => Recall: 0.5031645569620253
Recall @ IoU=0.5, Cat=31, Area=[1024, 9216] => Recall: 0.6421568627450981
Recall @ IoU=0.5, Cat=31, Area=[9216, 10000000000.0] => Recall: 0.65
Recall @ IoU=0.5, Cat=32, Area=[0, 10000000000.0] => Recall: 0.5992063492063492
Recall @ IoU=0.5, Cat=32, Area=[0, 1024] => Recall: 0.5194805194805194
Recall @ IoU=0.5, Cat=32, Area=[1024, 9216] => Recall: 0.7142857142857143
Recall @ IoU=0.5, Cat=32, Area=[9216, 10000000000.0] => Recall: 0.7619047619047619
Recall @ IoU=0.5, Cat=33, Area=[0, 10000000000.0] => Recall: 0.5986622073578596
Recall @ IoU=0.5, Cat=33, Area=[0, 1024] => Recall: 0.38613861386138615
Recall @ IoU=0.5, Cat=33, Area=[1024, 9216] => Recall: 0.652542372881356
